"id","year","temperaturamnimaextrema_acum","latitud","longitud","geom"
1,"2012",-7.5,26.12861,-106.333336,POINT (-106.33333587646484 26.128610610961914)
2,"2012",-7.0,23.821667,-104.92611,POINT (-104.92610931396484 23.821666717529297)
3,"2012",-5.2,24.98889,-105.89167,POINT (-105.89167022705078 24.988889694213867)
4,"2012",-3.9,29.251944,-108.09278,POINT (-108.09278106689453 29.251943588256836)
5,"2012",-3.6,19.133612,-97.6625,POINT (-97.6624984741211 19.13361167907715)
6,"2012",-3.6,24.364721,-105.5175,POINT (-105.51750183105469 24.364721298217773)
7,"2012",-3.5,19.4925,-98.53528,POINT (-98.5352783203125 19.49250030517578)
8,"2012",-3.3,29.19,-108.14139,POINT (-108.14138793945312 29.190000534057617)
9,"2012",-2.9,19.580833,-97.24778,POINT (-97.2477798461914 19.580833435058594)
10,"2012",-2.8,19.704445,-99.70306,POINT (-99.70305633544922 19.704444885253906)
11,"2012",-2.8,23.690277,-105.352776,POINT (-105.35277557373047 23.690277099609375)
12,"2012",-2.8,23.834444,-105.041664,POINT (-105.04166412353516 23.834444046020508)
13,"2012",-2.5,19.854166,-98.308334,POINT (-98.30833435058594 19.85416603088379)
14,"2012",-2.3,24.700277,-99.85528,POINT (-99.85527801513672 24.70027732849121)
15,"2012",-2.2,23.387777,-104.24722,POINT (-104.24722290039062 23.38777732849121)
16,"2012",-2.2,24.71,-100.30334,POINT (-100.30333709716797 24.709999084472656)
17,"2012",-2.0,19.917223,-99.68,POINT (-99.68000030517578 19.91722297668457)
18,"2012",-1.9,28.802778,-106.484726,POINT (-106.48472595214844 28.802778244018555)
19,"2012",-1.8,19.370277,-97.355835,POINT (-97.3558349609375 19.370277404785156)
20,"2012",-1.8,23.504444,-104.82445,POINT (-104.82444763183594 23.504444122314453)
21,"2012",-1.8,23.554167,-105.41111,POINT (-105.4111099243164 23.554166793823242)
22,"2012",-1.8,24.053612,-105.00861,POINT (-105.00861358642578 24.053611755371094)
