year,lluviatotalmensual_ACUM,latitud,longitud
2012,0,24.25138889,-103.7955556
2012,0,25.50555556,-103.6538889
2012,0,29.96722222,-115.0969444
2012,0.03,19.91972222,-100.0122222
2012,0.7,30.32055556,-115.8205556
2012,1,32.62444444,-114.8777778
2012,1.1,29.9675,-115.1908333
2012,1.3,27.84694444,-115.0813889
2012,1.8,28.22861111,-113.7552778
2012,1.9,22.75194444,-101.0833333
2012,2.1,28.66805556,-114.2369444
2012,2.3,27.68888889,-114.8972222
2012,2.7,29.15833333,-114.1458333
2012,3.1,32.41861111,-115.0361111
2012,3.3,30.40166667,-115.8883333
2012,3.6,28.3,-114.0258333
2012,3.7,28.3025,-112.8783333
2012,4,26.14,-103.7591667
2012,4.2,28.60388889,-113.5561111
2012,4.3,30.57944444,-115.9377778
2012,4.4,26.71555556,-113.5741667
2012,4.5,30.88444444,-116.1236111
2012,5.1,28.63444444,-114.0172222
2012,5.4,32.57027778,-115.1108333
2012,5.9,25.54222222 ,-103.4691667 
2012,6.5,27.83888889,-113.3208333
2012,7.3,31.71388889,-116.6661111
2012,7.5,31.07222222,-116.2061111
2012,7.5,32.41277778,-115.1919444
2012,7.6,30.95,-116.1
2012,7.8,29.72722222,-114.7108333
2012,8.3,27.88472222,-113.7777778
2012,8.7,26.76694444,-108.8216667
2012,9,25.68111111,-100.7175
2012,9,31.79194444,-116.4061111
2012,9.4,16.75,-94.75
2012,9.4,26.52666667,-112.6533333
2012,9.6,26.38055556,-112.5986111
2012,9.9,31.27027778,-116.0369444
2012,10,15.13305556,-92.24222222
2012,10,16.28305556,-95.88305556
2012,10,16.51944444,-93.96138889
2012,10,16.89027778,-92.92361111
2012,10,17.03166667,-96.99805556
2012,10,17.24583333,-92.12361111
2012,10,17.3,-96.9
2012,10,17.36666667,-95.93305556
2012,10,17.46527778,-98.39722222
2012,10,17.54,-92.34666667
2012,10,18.09611111,-99.55638889
2012,10,18.45694444,-91.14194444
2012,10,18.9525,-99.55194444
2012,10,18.95472222,-88.16444444
2012,10,19.11888889,-99.63194444
2012,10,19.19027778,-98.87083333
2012,10,19.20388889,-98.80333333
2012,10,19.34277778,-98.16055556
2012,10,19.38472222,-98.84611111
2012,10,19.44333333,-98.90277778
2012,10,19.49527778,-99.36777778
2012,10,19.5,-96.885
2012,10,19.56388889,-99.85
2012,10,19.71888889,-104.6019444
2012,10,19.78416667,-98.83222222
2012,10,19.8025,-102.2888889
2012,10,19.80611111,-97.30777778
2012,10,19.84583333,-104.2844444
2012,10,19.93777778,-99.01194444
2012,10,19.95555556,-99.74555556
2012,10,19.99,-99.33222222
2012,10,20.03888889,-101.575
2012,10,20.14361111,-102.8508333
2012,10,20.19027778,-99.25472222
2012,10,20.2275,-89.53194444
2012,10,20.26527778,-98.95805556
2012,10,20.5525,-99.30444444
2012,10,20.62555556,-101.6758333
2012,10,20.90694444,-97.43861111
2012,10,21.06361111,-101.3386111
2012,10,21.06833333,-101.4747222
2012,10,21.21305556,-100.22
2012,10,21.28333333,-100.9169444
2012,10,21.32972222,-103.6141667
2012,10,21.33777778,-89.26583333
2012,10,21.36027778,-101.9205556
2012,10,21.54,-102.5966667
2012,10,21.91833333,-104.9847222
2012,10,21.92722222,-104.9608333
2012,10,21.93333333,-103.0933333
2012,10,21.97416667,-102.5844444
2012,10,22.10916667,-97.79861111
2012,10,22.72111111,-102.6866667
2012,10,23.00111111,-99.7125
2012,10,23.01388889,-105.6666667
2012,10,23.22083333,-110.1444444
2012,10,23.27083333,-109.7791667
2012,10,23.34583333,-109.6458333
2012,10,23.38833333,-98.81111111
2012,10,23.54888889,-98.90388889
2012,10,23.565,-98.79361111
2012,10,23.57388889,-99.75305556
2012,10,23.57444444,-99.85666667
2012,10,23.77361111,-99.24638889
2012,10,23.80944444,-102.4719444
2012,10,23.88527778,-100.9513889
2012,10,23.91861111,-99.00444444
2012,10,24.24,-98.81833333
2012,10,24.26166667,-98.35666667
2012,10,24.3675,-99.09694444
2012,10,24.39666667,-98.38416667
2012,10,24.39972222,-99.11305556
2012,10,24.4875,-106.9541667
2012,10,24.56388889,-100.7727778
2012,10,24.61833333,-98.29722222
2012,10,24.65138889,-111.2152778
2012,10,24.73166667,-99.40277778
2012,10,25.09444444,-111.5083333
2012,10,25.57555556,-105.2197222
2012,10,25.65222222,-104.5291667
2012,10,25.77083333,-99.63388889
2012,10,25.81388889,-103.5741667
2012,10,26.37611111,-112.5125
2012,10,26.52916667,-104.1344444
2012,10,26.92222222,-112.4083333
2012,10,27.01194444,-109.4922222
2012,10,30.48027778,-108.9397222
2012,10,30.63805556,-114.75
2012,10,30.88555556,-114.7791667
2012,10,31.33138889,-115.5436111
2012,10,31.61027778,-115.9375
2012,10,31.91888889,-116.2341667
2012,10,32.04916667,-116.6808333
2012,10,32.10638889,-115.8522222
2012,10,32.1075,-116.4541667
2012,10,32.1275,-115.2780556
2012,10,32.19527778,-116.4855556
2012,10,32.35611111,-115.7488889
2012,10,32.37277778,-116.0680556
2012,10,32.51638889,-116.3027778
2012,10,32.54388889,-116.6783333
2012,10,32.54861111,-116.0463889
2012,10,32.59055556,-116.1916667
2012,10,20.12916667 ,-100.0097222 
2012,10,24.96388889 ,-101.0302778 
2012,10,26.93472222 ,-102.2072222 
2012,10,28.09222222 ,-103.2872222 
2012,10,28.45166667 ,-103.3025 
2012,10.2,29.72194444,-115.1302778
2012,11.4,29.48805556,-114.3638889
2012,11.9,25.77361111,-104.2877778
2012,12.1,31.79027778,-116.5880556
2012,12.2,26.58888889,-112.7222222
2012,12.8,26.00222222,-100.5333333
2012,13.2,29.9375,-114.9669444
2012,13.4,26.10638889,-103.4427778
2012,13.7,31.0375,-115.2041667
2012,14,22.92333333,-100.9413889
2012,16.2,25.85861111,-100.0222222
2012,16.6,15.96305556,-95.70277778
2012,16.6,26.18194444,-112.0777778
2012,16.8,26.05833333,-111.825
2012,16.9,26.39277778 ,-101.3533333 
2012,17.7,24.86944444,-103.6983333
2012,18,26.32416667,-111.9847222
2012,18.2,25.97,-109.3044444
2012,18.5,26.53138889 ,-101.2588889 
2012,18.6,24.6775,-101.7730556
2012,19.1,25.95916667,-112.0819444
2012,19.2,25.97694444 ,-101.2488889 
2012,19.4,23.32777778,-101.7369444
2012,20.1,23.31305556,-101.9594444
2012,20.2,24.8125,-110.9805556
2012,20.6,27.54861111,-112.975
2012,20.7,22.01833333,-101.8547222
2012,20.8,25.43833333 ,-102.1727778 
2012,21,20.06111111,-101.8888889
2012,21.4,25.18888889,-111.4111111
2012,21.6,26.3925,-104.005
2012,21.7,28.63666667 ,-102.9483333 
2012,22.1,23.74611111,-99.98194444
2012,22.1,25.06805556 ,-103.2838889 
2012,22.5,29.83666667,-111.4788889
2012,22.7,24.59027778,-111.4638889
2012,22.8,24.28861111,-103.5066667
2012,23.4,24.39166667,-111.1083333
2012,23.7,19.7325,-98.59555556
2012,23.8,22.0375,-100.7319444
2012,23.8,24.14861111,-110.5677778
2012,24.1,25.5875,-111.6402778
2012,24.8,20.36944444,-99.64805556
2012,25.2,27.26,-112.3508333
2012,25.3,22.64527778,-104.1005556
2012,26.3,19.93583333,-99.28361111
2012,26.4,25.76111111,-112.0375
2012,27.3,24.945,-104.4808333
2012,27.3,25.00055556,-111.8338889
2012,27.3,29.38083333,-110.9005556
2012,27.5,23.47027778,-99.34333333
2012,28.1,23.28888889,-102.3441667
2012,28.2,19.96027778,-98.70805556
2012,28.6,24.84027778,-111.7833333
2012,28.8,28.37694444,-110.5308333
2012,28.9,30.66583333,-111.405
2012,29.6,25.36805556,-111.5194444
2012,29.7,25.61444444,-105.0036111
2012,30.2,26.02222222,-99.19666667
2012,30.3,23.99833333,-104.5858333
2012,30.6,27.59833333,-113.0319444
2012,30.7,24.99166667,-111.4
2012,31.3,21.19805556,-102.125
2012,31.5,30.03055556,-110.675
2012,31.8,18.54611111,-99.64527778
2012,31.8,19.6625,-99.95777778
2012,32.3,25.05,-105.4152778
2012,32.3,25.95222222,-100.1722222
2012,32.4,26.72083333,-112.3055556
2012,32.5,22.60972222,-103.0975
2012,32.7,22.36277778,-102.8891667
2012,33.4,25.49027778,-111.9152778
2012,33.5,21.76805556,-99.90694444
2012,33.8,19.81527778,-98.48416667
2012,34,21.10027778,-101.3983333
2012,34.3,28.47333333,-110.31
2012,34.8,24.86833333,-98.69083333
2012,35.1,22.45472222,-103.1536111
2012,35.2,22.44194444,-101.7855556
2012,35.3,23.95666667,-103.4475
2012,35.4,22.57777778,-102.2694444
2012,35.4,25.60083333,-105.7463889
2012,35.5,23.4075,-99.37527778
2012,35.6,25.39722222,-111.755
2012,35.8,22.80694444,-99.84166667
2012,36,25.10777778,-100.6625
2012,36.6,23.47222222,-109.4527778
2012,36.6,30.62694444,-110.9675
2012,37.6,25.54833333,-104.5838889
2012,37.8,22.1825,-102.2077778
2012,38,26.25694444,-112.4827778
2012,38.1,22.32527778,-100.27
2012,38.4,27.23833333,-100.1313889
2012,38.59,31.31666667,-113.5369444
2012,38.7,28.21833333,-113.0844444
2012,38.8,27.06111111,-112.2388889
2012,38.8,27.65833333,-109.2125
2012,39.3,29.03638889 ,-100.9555556 
2012,39.6,25.59027778,-99.975
2012,39.7,25.86527778,-111.5444444
2012,39.8,20.78555556 ,-100.0452778 
2012,40.1,25.76666667,-105.7858333
2012,40.5,23.64972222,-103.4475
2012,41.07,32.55,-115.4666667
2012,41.2,25.3625,-111.1722222
2012,41.4,21.7675,-102.9688889
2012,41.6,21.02527778,-101.8366667
2012,41.9,24.91888889,-99.25472222
2012,42.1,20.30555556,-101.5972222
2012,42.8,23.78722222,-97.77777778
2012,43,20.5275,-101.3713889
2012,43,25.19638889,-100.2141667
2012,43.3,22.6175,-100.3980556
2012,43.32,31.02916667,-114.8394444
2012,44.56,32.71527778,-114.7288889
2012,45,21.22444444,-101.82
2012,45.4,19.20305556,-99.14916667
2012,45.5,26.07083333,-108.7844444
2012,46,19.57277778,-99.665
2012,46,24.86666667,-98.63472222
2012,46.6,21.34777778,-101.9413889
2012,46.7,19.27888889,-99.68583333
2012,46.7,26.30916667,-99.54916667
2012,47.5,25.12083333,-111.8133333
2012,47.7,22.46805556,-104.2166667
2012,48.5,19.85166667,-98.93638889
2012,48.5,25.18194444,-99.83222222
2012,48.5,27.19361111,-109.1955556
2012,48.6,24.88972222,-100.1802778
2012,49.3,21.48888889,-101.7527778
2012,49.3,22.7675,-102.5886111
2012,49.4,21.77361111,-103.3094444
2012,49.9,25.71527778,-107.9163889
2012,50,18.62694444,-100.8972222
2012,50.4,20.48777778,-100.9627778
2012,51.2,28.82611111,-111.6588889
2012,51.3,24.51833333,-99.38694444
2012,52.2,23.48222222,-98.98027778
2012,53,24.72555556,-99.47111111
2012,53.9,20.90416667 ,-100.2116667 
2012,54.2,23.74777778,-99.17166667
2012,54.6,20.57027778 ,-100.3697222 
2012,55.1,20.08333333,-104.0975
2012,55.9,25.66111111,-108.06
2012,56,20.46611111,-98.66694444
2012,56.2,24.09416667,-99.14694444
2012,56.3,19.30638889,-104.8875
2012,56.4,21.055,-104.4841667
2012,56.5,19.82388889,-98.95444444
2012,56.5,21.7325,-103.2147222
2012,56.9,17.60861111,-99.17583333
2012,57.1,20.3275,-89.63944444
2012,57.1,22.72138889,-97.92138889
2012,57.4,23.72611111,-99.14611111
2012,57.8,24.9925,-99.21333333
2012,58.1,21.92333333,-103.3163889
2012,58.4,24.58111111,-98.94694444
2012,59,21.96444444,-102.6972222
2012,59.1,18.89305556,-100.1022222
2012,59.2,21.2125,-103.3638889
2012,59.3,20.18472222 ,-100.1455556 
2012,59.4,18.13416667,-99.83111111
2012,59.4,24.71194444,-106.5436111
2012,59.6,17.41444444,-100.6069444
2012,59.6,19.35777778,-98.99166667
2012,60.3,24.21194444,-98.48472222
2012,60.3,26.28277778,-106.0105556
2012,60.9,21.81138889,-103.4591667
2012,61,23.90444444,-99.11777778
2012,62.5,24.99111111,-99.74194444
2012,63.2,20.74388889,-105.2294444
2012,63.6,19.85861111,-100.8272222
2012,63.9,23.62666667,-98.37083333
2012,64,19.23555556,-101.4569444
2012,64.2,18.32361111,-98.81972222
2012,66.2,16.82694444,-96.78055556
2012,66.8,20.71527778,-99.12222222
2012,67.3,20.58166667,-102.7455556
2012,67.4,21.04944444,-89.64722222
2012,68.7,19.56277778,-99.21583333
2012,69,18.68305556,-99.85027778
2012,69,19.56138889,-97.14805556
2012,69.2,19.14611111,-100.0627778
2012,69.8,25.80833333,-107.5602778
2012,70.08,20.32083333,-99.23166667
2012,70.5,25.09444444,-107.3930556
2012,70.5,25.15166667,-99.92666667
2012,70.66,27.64722222,-113.4430556
2012,70.9,26.82083333,-112.7972222
2012,71.5,24.68944444,-98.82972222
2012,72.2,18.89222222,-99.23333333
2012,72.4,18.62,-97.41055556
2012,72.8,16.44916667,-93.12527778
2012,73.6,17.38083333,-97.3575
2012,73.9,18.07333333,-100.5113889
2012,74.9,19.39361111,-99.5175
2012,75.1,17.39972222,-96.93305556
2012,75.1,19.95611111,-101.1380556
2012,75.3,23.21666667,-99.07666667
2012,76.3,22.94833333,-98.8
2012,76.3,26.89277778,-108.3541667
2012,76.6,19.87388889,-89.92694444
2012,77.2,23.57111111,-98.53166667
2012,78.05,17.21666667,-100.1122222
2012,78.3,19.445,-103.5041667
2012,78.3,21.13138889,-102.0047222
2012,78.7,24.47361111,-99.49027778
2012,79.5,32.06027778,-115.0594444
2012,79.9,21.8925,-98.29
2012,80.1,20.91305556,-89.955
2012,82,24.08388889,-99.12694444
2012,84,25.89444444,-108.025
2012,85.2,18.96777778,-99.65611111
2012,86.6,23.38166667,-98.015
2012,87.3,21.97361111,-99.00138889
2012,88.5,25.72972222 ,-102.0127778 
2012,90.4,22.92888889,-98.075
2012,91.5,21.6825,-104.3161111
2012,91.8,23.09583333,-105.8458333
2012,92.5,27.15416667,-112.1527778
2012,92.5,26.61333333 ,-102.2730556 
2012,94.01,20.02083333,-99.88
2012,94.2,19.51638889,-101.6097222
2012,95.2,19.26333333,-101.6752778
2012,95.5,22.615,-98.46166667
2012,96.8,22.79833333,-105.265
2012,98.2,22.52083333,-104.3186111
2012,98.5,19.45277778,-99.28361111
2012,100.3,16.08277778,-92.84055556
2012,100.4,22.01666667,-98.78361111
2012,101.1,19.81083333,-98.26611111
2012,101.7,16.32944444,-96.59388889
2012,102.4,22.42388889,-98.42277778
2012,102.8,19.75305556,-103.1811111
2012,103.9,16,-92.75555556
2012,104.1,22.59166667,-105.3416667
2012,105,22.66194444,-99.90611111
2012,106.06,27.96805556,-114.0458333
2012,106.5,24.17583333,-99.04361111
2012,107.8,19.56666667,-88.05
2012,108.05,27.33888889,-112.2697222
2012,108.4,20.16861111,-89.235
2012,109.4,19.50555556,-90.58416667
2012,111,26.62138889 ,-101.3125 
2012,111.1,21.15972222,-88.95777778
2012,113.03,20.38027778,-99.35027778
2012,115.8,20.93694444,-89.02527778
2012,116.7,27.54861111,-113.3888889
2012,117.1,20.41027778,-89.28777778
2012,117.4,24.94444444,-106.2591667
2012,118.8,20.90111111,-88.75805556
2012,120,25.31861111 ,-102.8080556 
2012,120.4,16.09138889,-96.465
2012,123.9,22.01194444,-99.21638889
2012,124.4,19.50138889,-88.39777778
2012,129.4,21.12361111,-88.63861111
2012,131.1,22.85861111,-98.23333333
2012,131.3,20.205,-89.29111111
2012,132.03,29.55,-104.4
2012,132.4,19.72972222,-90.35083333
2012,140.2,28.19416667,-105.4636111
2012,140.4,18.05666667,-90.82055556
2012,140.5,17.98833333,-91.38833333
2012,141.1,17.74194444,-91.76305556
2012,141.2,20.12222222,-88.94833333
2012,143.6,28.2,-105.4666667
2012,144,23.73333333,-101.2244444
2012,146,23.59277778,-101.9033333
