temperaturamnimaextrema_ACUM,latitud,longitud
-5.7,23.83444444,-105.0416667
-4,23.82166667,-104.9261111
-3.7,19.11861111,-99.78138889
-3.6,23.64972222,-103.4475
-3,19.4925,-98.53527778
-2.8,19.58083333,-97.24777778
-2.7,19.02333333,-97.56694444
-2.7,25.61694444,-106.3244444
-2.6,19.05333333,-99.87888889
-2.6,19.41388889,-97.38888889
-1.9,19.13361111,-97.6625
-1.8,19.70444444,-99.70305556
-1.5,19.81527778,-98.48416667
-1.4,28.75972222,-107.6975
-1.4,31.22833333,-110.5933333
-1.3,25.76666667,-105.7858333
-1.2,23.69027778,-105.3527778
-1,28.80277778,-106.4847222
-0.9,19.71111111,-99.78888889
-0.8,22.91166667,-103.2780556
-0.7,23.09194444,-103.6711111
-0.7,28.95,-107.8166667
-0.4,19.37027778,-97.35583333
-0.2,19.46222222,-99.77555556
-0.2,24.80694444,-104.9219444
-0.2,27.57722222,-105.3713889
-0.1,19.47611111,-99.71444444
-0.1,21.83527778,-102.1825
0,23.49777778,-102.1336111
0,24.21444444,-101.9222222
0,24.44388889,-105.785
0.1,19.17194444,-99.80611111
0.1,22.77277778,-103.5686111
0.2,19.38527778,-97.28916667
0.2,19.47194444,-98.34527778
0.2,22.61694444,-102.7672222
0.2,22.66861111,-101.1294444
0.3,19.88583333,-99.555
0.3,24.64055556,-103.6983333
0.3,26.12694444,-105.0166667
0.4,19.83944444,-98.03277778
0.4,22.36277778,-102.2969444
0.5,19.68944444,-99.87166667
0.5,19.6975,-97.5475
0.6,18.92805556,-97.51138889
0.6,20.04055556,-98.17388889
0.7,19.7975,-100.995
0.7,19.87277778,-98.71805556
0.8,19.7375,-102.0791667
0.8,23.11444444,-101.5458333
0.8,30.33583333,-110.1675
0.9,22.84472222,-103.3825
1,19.31805556,-97.64722222
1,22.10083333,-102.0677778
1.1,19.23444444,-99.80805556
1.1,19.39916667,-99.90833333
1.1,20.05083333,-100.1494444
1.1,23.58,-103.2638889
1.2,19.41194444,-97.39388889
1.2,19.61472222,-97.50111111
1.2,19.65527778,-98.22888889
1.2,22.11777778,-101.3991667
1.2,22.1775,-102.5861111
1.2,22.54444444,-103.5663889
1.2,23.28166667,-103.1088889
1.3,25.0625,-106.5305556
1.4,19.39138889,-99.52527778
1.4,19.51472222,-99.72861111
1.4,19.95388889,-98.32583333
1.4,22.68611111,-103.6025
1.5,19.08527778,-97.54138889
1.5,19.66916667,-99.83083333
1.5,19.90861111,-99.12638889
1.5,20.33722222,-98.36194444
1.5,21.29916667,-100.5166667
1.5,23.45027778,-102.3891667
1.5,30.05472222,-106.9069444
1.6,18.83694444,-97.54722222
1.6,19.48611111,-97.26416667
1.6,19.5075,-100.0977778
1.6,19.79972222,-98.38083333
1.6,30.63194444,-109.97
1.7,24.00138889,-103.0194444
1.7,25.11611111,-102.6322222
1.8,19.55555556,-98.20277778
1.8,19.5925,-98.12555556
1.8,23.23166667,-103.6438889
1.8,25.09444444,-111.5083333
1.8,20.12833333,-99.99666667
1.8,20.90416667,-100.2116667
1.9,19.29111111,-99.71416667
1.9,19.33888889,-99.68416667
1.9,19.86166667,-99.9175
1.9,22.09111111,-102.1813889
2,19.09,-98.53166667
2,19.15583333,-99.90722222
2,21.97583333,-102.0619444
2,25.77361111,-104.2877778
2.1,19.56888889,-99.76694444
2.1,19.58611111,-98.56388889
2.1,19.58666667,-98.4275
2.1,24.99166667,-111.4
2.2,19.24833333,-99.57555556
2.2,19.41111111,-99.69944444
2.2,19.75305556,-99.64
2.2,19.98722222,-98.29722222
2.2,21.91333333,-101.3844444
2.2,25.65222222,-104.5291667
2.3,18.92027778,-97.2525
2.3,19.20388889,-98.80333333
2.3,19.42916667,-99.05277778
2.3,19.81083333,-98.26611111
2.3,23.47388889,-103.5813889
2.3,23.61805556,-101.7230556
2.3,25.34611111,-100.28
2.4,17.125,-96.41666667
2.4,19.47694444,-97.91722222
2.4,19.58472222,-98.47805556
2.4,19.855,-99.96777778
2.4,20.19833333,-100.3633333
2.4,21.22388889,-103.6058333
2.4,22.72111111,-102.6866667
2.4,30.21055556,-108.9572222
2.4,30.39777778,-107.9072222
2.4,20.38388889,-100.2805556
2.5,18.98388889,-97.44166667
2.5,19.19833333,-99.64833333
2.5,19.61027778,-98.64166667
2.5,20.21944444,-98.57861111
2.5,21.885,-102.1091667
2.5,22.16444444,-102.5541667
2.5,22.90861111,-102.6597222
2.5,23.24138889,-102.5747222
2.6,19.03666667,-99.25805556
2.6,19.26138889,-98.37055556
2.6,19.29888889,-97.76972222
2.6,19.825,-99.79083333
2.6,22.01888889,-101.9991667
2.6,23.14805556,-101.3430556
2.7,17.57333333,-97.5225
2.7,19.59694444,-98.63194444
2.7,19.96,-97.96
2.7,20.30944444,-99.7225
2.7,20.66416667,-99.13666667
2.7,25.35,-105.1
2.7,30.59888889,-110.2386111
2.8,19.38944444,-100.0758333
2.8,19.61083333,-97.02722222
2.8,19.955,-99.14611111
2.8,20.02194444,-99.93083333
2.8,21.56333333,-102.4394444
2.8,21.8375,-102.5222222
2.8,23.69305556,-103.0936111
2.8,25.76666667,-104.9333333
2.9,19.13444444,-99.17305556
2.9,19.6625,-99.95777778
2.9,20.0725,-98.65333333
2.9,21.93777778,-100.5844444
3,19.11888889,-99.63194444
3,19.42805556,-97.79888889
3,19.52944444,-99.46416667
3,19.55916667,-99.6
3,19.62277778,-97.81416667
3,19.64694444,-99.61333333
3,19.79611111,-99.995
3,20.05611111,-98.33444444
3,22.64972222,-103.6997222
3,22.6625,-103.3575
3,22.82361111,-102.9516667
3.1,19.20944444,-99.58861111
3.1,19.76916667,-100.1402778
3.1,22.4875,-102.46
3.1,25.60083333,-105.7463889
3.1,26.34861111,-112.1708333
3.1,20.85333333,-100.0619444
3.2,18.85861111,-97.46305556
3.2,19.33333333,-98.3
3.2,19.4125,-99.20166667
3.2,19.49,-97.49444444
3.2,19.57277778,-99.665
3.2,19.70722222,-98.44916667
3.2,19.78416667,-98.83222222
3.2,20.15472222,-98.27388889
3.2,20.23666667,-98.32416667
3.2,22.00083333,-102.1988889
3.2,22.09833333,-100.71
3.2,22.20833333,-102.0222222
3.2,22.28611111,-102.2358333
3.2,22.62361111,-103.4116667
3.2,28.46666667,-109.5333333
3.3,19.13222222,-98.07777778
3.3,19.7975,-99.87444444
3.3,22.43888889,-102.2516667
3.3,23.88527778,-100.9513889
3.3,30.59888889,-110.8958333
3.4,19.58055556,-97.95833333
3.4,19.68416667,-99.12666667
3.4,19.7,-98.75833333
3.4,19.95555556,-99.74555556
3.4,22.34722222,-102.7966667
3.4,23.55555556,-103.5669444
3.4,23.78333333,-102.1602778
3.5,19.45277778,-99.28361111
3.5,19.84861111,-99.2125
3.5,20.22555556,-99.88916667
3.5,29.26361111,-107.4572222
3.6,19.19666667,-99.12861111
3.6,19.23777778,-98.15916667
3.6,19.30722222,-98.38277778
3.6,19.37027778,-100.1569444
3.6,19.77472222,-99.16694444
3.6,19.80916667,-100.1294444
3.6,20.11833333,-98.88527778
3.6,22.44194444,-101.7855556
3.6,22.46805556,-104.2166667
3.6,22.7675,-102.5886111
3.6,24.28861111,-103.5066667
3.7,18.8975,-98.13222222
3.7,19.695,-99.30166667
3.7,20.53361111,-98.47777778
3.7,22.94083333,-102.4875
3.8,18.98277778,-97.35222222
3.8,19.19055556,-99.02194444
3.8,19.62222222,-100.6855556
3.8,19.75083333,-98.94944444
3.8,19.96472222,-98.51305556
3.8,20.15944444,-98.55666667
3.8,21.15222222,-100.9513889
3.8,21.81138889,-103.4591667
3.8,22.12083333,-102.8591667
3.8,22.45472222,-103.1536111
3.8,26.89777778,-103.8527778
3.8,31.31861111,-110.9458333
3.9,20.26527778,-98.95805556
3.9,21.64944444,-103.3397222
3.9,21.89777778,-101.9925
3.9,22.40194444,-99.59944444
3.9,23.81694444,-103.0258333
3.9,26.00444444,-105.5266667
4,18.93055556,-99.93388889
4,19.0475,-100.1766667
4,19.30611111,-99.82472222
4,19.46472222,-97.95805556
4,19.49527778,-99.36777778
4,22.36277778,-102.8891667
4,22.54805556,-102.7908333
4,22.92583333,-103.1127778
4,23.24888889,-103.8047222
4.1,19.19027778,-98.87083333
4.1,19.42388889,-99.86944444
4.1,19.98472222,-98.9175
4.1,26.50611111,-105.6441667
4.2,19.19972222,-97.9075
4.2,19.21944444,-98.24305556
4.2,19.34638889,-98.58138889
4.2,19.78166667,-99.4725
4.2,19.78611111,-97.55277778
4.2,19.94416667,-98.75388889
4.2,20.8425,-101.5938889
4.2,21.3575,-102.8455556
4.2,21.77861111,-102.1038889
4.2,21.78055556,-102.3716667
4.2,21.90916667,-102.0869444
4.2,21.935,-102.5508333
4.2,22.60972222,-103.0975
4.2,24.2875,-103.4430556
4.2,24.79305556,-104.0377778
4.2,25.87861111,-104.1625
4.3,16.88694444,-92.71555556
4.3,19.38861111,-98.02138889
4.3,19.59555556,-99.35472222
4.3,22.12333333,-102.5111111
4.3,22.4,-103.7261111
4.3,22.45305556,-102.3472222
4.3,24.44333333,-103.1325
4.3,28.67055556,-106.1302778
4.4,19.10555556,-98.46361111
4.4,19.25833333,-98.89583333
4.4,19.47222222,-98.99166667
4.4,21.79444444,-102.8016667
4.4,21.96222222,-102.3505556
4.4,22.01694444,-100.375
4.4,22.09777778,-102.8719444
4.4,23.69027778,-109.9444444
4.4,25.56722222,-104.2916667
4.5,17.38083333,-97.3575
4.5,19.05833333,-99.27416667
4.5,19.14611111,-100.0627778
4.5,19.41555556,-98.14
4.5,19.86472222,-98.35583333
4.5,19.975,-102.1269444
4.5,21.22,-100.4961111
4.5,21.77361111,-103.3094444
4.5,22.01833333,-101.8547222
4.5,22.31333333,-102.1658333
4.5,24.32222222,-102.8844444
4.5,25.22055556,-105.4488889
4.6,16.95,-96.72694444
4.6,19.1125,-97.95611111
4.6,19.29055556,-98.89361111
4.6,19.45611111,-100.0694444
4.6,19.7625,-97.23472222
4.6,20.11972222,-99.54444444
4.6,24.25138889,-103.7955556
4.6,24.73666667,-103.5855556
4.6,25.05,-105.4152778
4.6,26.32388889,-104.3511111
4.7,17.97944444,-98.38472222
4.7,18.99388889,-97.80555556
4.7,19.24333333,-98.19083333
4.7,19.29861111,-98.43388889
4.7,19.57083333,-99.2375
4.7,19.64,-98.91277778
4.7,32.54388889,-116.6783333
4.7,20.85055556,-99.58777778
4.8,19.28583333,-99.52361111
4.8,19.34277778,-98.16055556
4.8,19.50555556,-98.88194444
4.8,19.53694444,-100.6183333
4.8,19.92305556,-101.7469444
4.8,19.95833333,-102.6
4.8,20.14,-99.6025
4.8,21.66694444,-100.5727778
4.8,21.95861111,-102.4758333
4.8,23.47194444,-103.88
4.8,24.84027778,-111.7833333
4.8,28.77333333,-105.9636111
4.8,20.69333333,-99.81333333
4.9,18.98472222,-99.85638889
4.9,19.69166667,-100.5536111
4.9,20.01111111,-102.2805556
4.9,21.74805556,-102.1702778
4.9,22.26472222,-101.9855556
4.9,22.99277778,-102.8372222
4.9,25.33555556,-111.6391667
4.9,20.91611111,-99.565
5,19.51944444,-98.8125
