temperaturamximaextrema_ACUM,latitud,longitud
36,14.61777778,-92.18472222
36.8,14.91972222,-92.25694444
37,14.92083333,-92.25
38.2,15.00222222,-92.40027778
11,15.0275,-92.10416667
37.4,15.14138889,-92.48638889
30.5,15.17388889,-92.32527778
37.5,15.2025,-92.55805556
36.8,15.33083333,-92.65583333
11,15.3325,-92.2675
29.8,15.34666667,-92.47611111
36.3,15.36416667,-92.24805556
31,15.43361111,-92.11416667
35.1,15.45166667,-92.87611111
37,15.50055556,-92.94305556
35.1,15.67,-96.49
35.8,15.70861111,-92.20861111
32.3,15.72861111,-92.96888889
36.4,15.73916667,-96.54444444
33.6,15.75166667,-92.27361111
11,15.81666667,-96.31666667
35.2,15.87083333,-92.72388889
37,15.875,-93.54583333
37.2,15.96305556,-95.70277778
35.2,15.96666667,-96.06666667
37.7,15.97916667,-95.68888889
11,16.06805556,-96.79416667
24.5,16.09138889,-96.465
24.5,16.13916667,-96.44583333
34.8,16.16305556,-93.07638889
22.5,16.16666667,-96.5
34.8,16.18416667,-92.2875
29.6,16.23333333,-92.13333333
37.3,16.24166667,-93.90833333
34.9,16.25,-94.23305556
30.8,16.25111111,-92.13416667
36.2,16.28305556,-97.83305556
24.5,16.28305556,-95.88305556
11,16.30055556,-95.72666667
35.2,16.30888889,-92.48611111
32.3,16.32944444,-96.59388889
11,16.4175,-95.59888889
38.7,16.43444444,-95.37416667
36.2,16.45361111,-93.05555556
33.1,16.47111111,-94.00388889
38.5,16.47527778,-95.28138889
37.3,16.48305556,-94.36777778
33.2,16.50333333,-96.10833333
37.2,16.55,-96.36666667
29.6,16.55194444,-95.08444444
35.8,16.55277778,-92.80416667
37.6,16.57194444,-97.66666667
32.2,16.57944444,-96.73722222
33.8,16.58083333,-90.70222222
36.1,16.6,-97.2
39,16.63666667,-95.95972222
36.7,16.64416667,-93.15722222
38.2,16.66333333,-96.3075
35.4,16.69194444,-93.56305556
36.2,16.71166667,-94.74833333
25.6,16.71416667,-92.62888889
33.3,16.72277778,-93.015
27.3,16.73333333,-92.63333333
30.9,16.73972222,-96.81666667
36.9,16.74055556,-93.03111111
36.5,16.75,-93.13333333
35,16.75277778,-93.11666667
35.4,16.76305556,-99.74888889
35.4,16.78888889,-95.37166667
29.9,16.78916667,-92.82833333
32.2,16.79694444,-93.26527778
37.7,16.8225,-99.47833333
33.7,16.82694444,-96.78055556
33.1,16.87305556,-93.22694444
26.9,16.88694444,-92.71555556
34.1,16.88805556,-99.86194444
11,16.89111111,-97.21611111
34.9,16.90944444,-91.73027778
33.2,16.925,-96.71833333
35.6,16.93888889,-93.82083333
35.8,16.94166667,-93.09861111
37.6,16.95,-99.68333333
26,16.95,-96.72694444
36.7,16.96527778,-93.12027778
31.3,16.98638889,-92.89138889
32.5,16.99722222,-96.4325
31.2,17.00722222,-100.0875
33.3,17.02722222,-96.71027778
33.4,17.06583333,-96.87833333
32.6,17.06583333,-96.62361111
27.5,17.08166667,-92.85111111
34.8,17.08305556,-96.70972222
33.4,17.08916667,-100.3261111
34.5,17.11666667,-93.33055556
18.2,17.125,-96.41666667
32.2,17.13638889,-96.62805556
33.3,17.14,-92.71416667
36.6,17.14833333,-93.42361111
27.6,17.15972222,-95.91222222
30.6,17.17722222,-96.78305556
30.6,17.20722222,-96.79972222
32,17.21666667,-95.45
27.5,17.23222222,-97.00222222
31.3,17.26666667,-96.54972222
28.6,17.28805556,-97.36805556
32.6,17.3,-96.9
30.6,17.33305556,-96.48305556
34.4,17.33527778,-100.3533333
29.5,17.35,-96.15
32.2,17.35,-92.83333333
28.7,17.36666667,-95.93305556
16.8,17.37027778,-98.83777778
36,17.38055556,-92.75
27.2,17.38083333,-97.3575
26.8,17.39972222,-96.93305556
37,17.40083333,-93.45
11,17.41666667,-97.26666667
36,17.41666667,-94.91388889
36.7,17.41666667,-93.38333333
34.8,17.42833333,-93.02861111
35.5,17.42916667,-95.01944444
38,17.43166667,-95.83027778
29.9,17.43305556,-96.54972222
35.1,17.43444444,-95.49388889
35.7,17.44944444,-91.49305556
34.7,17.46111111,-92.7775
11,17.46666667,-97.21666667
35.9,17.51333333,-92.92
33.8,17.51666667,-98.26666667
11,17.51666667,-97.5
25.6,17.51666667,-96.93305556
11,17.53305556,-97.73305556
33.1,17.54,-92.34666667
36.1,17.54027778,-98.59055556
37,17.54888889,-92.95333333
11,17.55138889,-99.50083333
36.4,17.55833333,-93.10833333
34.3,17.55833333,-92.33333333
30.3,17.56694444,-98.7275
11,17.57,-97.61666667
36.3,17.57194444,-94.16333333
33.9,17.57333333,-97.5225
36.3,17.575,-95.18055556
11,17.65194444,-97.81083333
38.7,17.68305556,-95.89055556
26.4,17.68666667,-97.39166667
27.5,17.71,-97.08305556
38.2,17.74194444,-91.76305556
28.8,17.7475,-98.65305556
36.4,17.75666667,-92.605
36.4,17.77777778,-98.72972222
33.9,17.78888889,-97.77194444
36.1,17.79166667,-91.15833333
27.8,17.79527778,-98.56444444
38.4,17.80416667,-92.48333333
37.3,17.82,-92.37333333
31,17.8225,-101.0769444
11,17.82972222,-98.29805556
43.2,17.83861111,-96.3675
32.3,17.85,-97.18305556
11,17.85305556,-97.9
35.3,17.85416667,-93.87916667
34.7,17.85444444,-92.93
35.2,17.87361111,-94.08888889
36.7,17.88305556,-96.53305556
35.9,17.88333333,-95.14583333
11,17.88833333,-97.81777778
40,17.89,-96.99055556
36.4,17.92027778,-99.03861111
35.8,17.93666667,-91.17722222
29.4,17.96666667,-97.41666667
36.1,17.97388889,-93.76833333
37,17.97638889,-102.1080556
28,17.97944444,-98.38472222
37.3,17.98333333,-101.8838889
11,17.98333333,-92.93333333
35.7,17.99305556,-95.40277778
36.1,17.99666667,-92.92833333
36.7,17.9975,-93.27861111
36,18.00111111,-93.37638889
37.6,18.00472222,-99.27916667
33.8,18.00861111,-88.82305556
35.5,18.00888889,-92.87722222
36.3,18.01666667,-96.28305556
36.8,18.01722222,-89.27
