lluviatotalmensual_ACUM,latitud,longitud
10,14.61777778,-92.18472222
3023,15.0275,-92.10416667
762.6,15.3325,-92.2675
774.93,15.36416667,-92.24805556
711.1,15.43361111,-92.11416667
1042.1,15.67,-96.49
2281.37,15.72861111,-92.96888889
1445.4,15.73916667,-96.54444444
1169.8,15.96666667,-96.06666667
1300.46,15.97916667,-95.68888889
772.5,16.18416667,-92.2875
2020.6,16.25,-94.23305556
996.06,16.25111111,-92.13416667
1159.4,16.28305556,-95.88305556
1124.89,16.30888889,-92.48611111
44.8,16.4175,-95.59888889
1067.5,16.43444444,-95.37416667
354.5,16.47111111,-94.00388889
774.2,16.47527778,-95.28138889
1284.41,16.48305556,-94.36777778
894,16.50333333,-96.10833333
80.4,16.55194444,-95.08444444
88,16.57194444,-97.66666667
589.23,16.57944444,-96.73722222
727.42,16.63666667,-95.95972222
538.5,16.66333333,-96.3075
10,16.67777778,-92.48916667
1398.2,16.69194444,-93.56305556
1279.9,16.71416667,-92.62888889
1080.04,16.74055556,-93.03111111
236.8,16.75361111,-99.00527778
10,16.75916667,-93.08861111
1300.4,16.76305556,-99.74888889
10,16.78638889,-92.34277778
1735.4,16.78888889,-95.37166667
1284.9,16.78916667,-92.82833333
1008.8,16.79694444,-93.26527778
1790.8,16.8225,-99.47833333
72,16.865,-96.78444444
10,16.86638889,-99.90555556
1056.01,16.87305556,-93.22694444
1744.1,16.88694444,-92.71555556
1386.2,16.88805556,-99.86194444
83.6,16.89111111,-97.21611111
2211.34,16.90944444,-91.73027778
1041,16.95,-99.68333333
1244.99,16.98638889,-92.89138889
471.4,16.99722222,-96.4325
1697,17.00722222,-100.0875
1302.6,17.01666667,-96.09972222
700.03,17.02722222,-96.71027778
2463.6,17.08166667,-92.85111111
629.67,17.08305556,-96.70972222
1120.5,17.08916667,-100.3261111
855.02,17.125,-96.41666667
770.72,17.1275,-93.16055556
2255.47,17.14,-92.71416667
2803.2,17.14833333,-93.42361111
10,17.19138889,-98.54972222
10,17.19194444,-98.40777778
50.8,17.2,-96.78
430.14,17.20722222,-96.79972222
10,17.20833333,-100.7572222
10,17.21027778,-100.4166667
10,17.21666667,-100.1122222
2574.58,17.21666667,-95.45
481.4,17.23222222,-97.00222222
611.6,17.26666667,-96.54972222
1035.86,17.33305556,-96.48305556
30.2,17.33527778,-100.3533333
1673.68,17.35,-96.15
5482.04,17.35,-92.83333333
2916.39,17.36666667,-95.93305556
1261.1,17.37027778,-98.83777778
3897.6,17.38055556,-92.75
10,17.38083333,-101.0583333
602,17.38083333,-97.3575
32.3,17.39222222,-97.19194444
702.8,17.39972222,-96.93305556
1587.92,17.41666667,-94.91388889
6738.5,17.42833333,-93.02861111
2063.12,17.42916667,-95.01944444
2516,17.43166667,-95.83027778
1121.01,17.43305556,-96.54972222
2316.43,17.43444444,-95.49388889
10,17.44055556,-100.8791667
10,17.44444444,-98.45027778
2746,17.44944444,-91.49305556
694,17.45,-95.38305556
323.8,17.46111111,-92.7775
10,17.46527778,-98.39722222
10,17.46527778,-98.51805556
49,17.46666667,-97.21666667
355.2,17.51333333,-92.92
77.6,17.51666667,-97.5
626.46,17.51666667,-96.93305556
715.19,17.51666667,-98.26666667
67.7,17.53305556,-97.73305556
4397.87,17.54,-92.34666667
830.8,17.54027778,-98.59055556
4331.9,17.54888889,-92.95333333
94.5,17.55138889,-99.50083333
10,17.55694444,-99.6875
3496.8,17.55833333,-92.33333333
3616.13,17.55833333,-93.10833333
10,17.56666667,-99.41888889
1136.81,17.56694444,-98.7275
38.3,17.57,-97.61666667
3026,17.57194444,-94.16333333
1963.2,17.575,-95.18055556
2954,17.60277778,-93.39138889
10,17.6225,-98.51333333
49.4,17.65194444,-97.81083333
10,17.67222222,-99.70111111
2891.62,17.68305556,-95.89055556
284.8,17.68666667,-97.39166667
1009.04,17.71,-97.08305556
2496,17.72833333,-92.01555556
541.2,17.7475,-98.65305556
10,17.75555556,-99.48111111
2425.5,17.75666667,-92.605
1228.37,17.77777778,-98.72972222
4546.1,17.78305556,-96.31666667
484.8,17.78888889,-97.77194444
10,17.78972222,-99.97638889
1776.7,17.79166667,-91.15833333
949.1,17.79527778,-98.56444444
1936.2,17.8225,-101.0769444
61.2,17.82972222,-98.29805556
179.6,17.83861111,-96.3675
553.9,17.85,-97.18305556
58,17.85305556,-97.9
2323.2,17.85416667,-93.87916667
3387.5,17.87361111,-94.08888889
5414.5,17.88305556,-96.53305556
1022.83,17.88333333,-95.14583333
52.9,17.88833333,-97.81777778
644.42,17.89,-96.99055556
712,17.92027778,-99.03861111
10,17.93111111,-99.60138889
2300.9,17.96388889,-94.72222222
359.61,17.96666667,-97.41666667
2339.2,17.97388889,-93.76833333
1192.31,17.97638889,-102.1080556
618.24,17.97944444,-98.38472222
203.3,17.98333333,-92.93333333
922.7,17.98333333,-101.8838889
1242.5,17.99305556,-95.40277778
2752.7,17.99666667,-92.92833333
2879.96,17.9975,-93.27861111
1135.5,18.00472222,-99.27916667
1407.4,18.00861111,-88.82305556
10,18.00888889,-92.87722222
4052.96,18.01666667,-96.28305556
1356.5,18.01722222,-89.27
57,18.03333333,-99.04111111
1353.5,18.03361111,-102.1958333
1377.5,18.05666667,-90.82055556
1113,18.065,-95.14861111
2859.45,18.08305556,-96.13305556
520.2,18.09611111,-99.55638889
545.2,18.10944444,-98.48333333
3329.7,18.125,-94.35555556
1491.62,18.12611111,-89.14361111
0,18.13416667,-99.83111111
530.2,18.13416667,-99.92583333
1822.41,18.1375,-94.77083333
1215.5,18.14444444,-95.29583333
1624.05,18.14972222,-96.08305556
1790.13,18.18277778,-91.04583333
1752.3,18.18444444,-91.04611111
1889.63,18.1875,-96.09444444
396.63,18.19916667,-97.88638889
498.22,18.19972222,-98.26027778
289.5,18.2025,-97.4525
10,18.20444444,-99.1825
1767.01,18.21638889,-91.80138889
1074,18.22166667,-89.45361111
1123.04,18.2225,-99.2075
231.8,18.22777778,-97.57805556
1719.2,18.23166667,-88.66555556
