cve_ent;entidad;hombres alfabetas;hombres analfabetas;hombres no especificado;total hombres;pob_total_hombres;mujeres alfabetas;mujeres analfabetas;mujeres no especificado;total mujeres;total general;pob_total_mujeres;pob_total
01;Aguascalientes;371138;11391;1997;384526;576638;404935;14878;2388;422201;806727;608358;1184996
02;Baja California;1076249;25108;12848;1114205;1591610;1057575;31870;12109;1101554;2215759;1563460;3155070
03;Baja California Sur;221545;6869;1521;229935;325433;210008;7556;1718;219282;449217;311593;637026
04;Campeche;262294;19986;2027;284307;407721;264704;28157;2346;295207;579514;414720;822441
05;Coahuila de Zaragoza;909820;23856;6203;939879;1364197;938932;26373;8072;973377;1913256;1384194;2748391
06;Colima;215426;11509;1204;228139;322790;223228;12347;1389;236964;465103;327765;650555
07;Chiapas;1282267;200900;8490;1491657;2352807;1243146;349944;10386;1603476;3095133;2443773;4796580
08;Chihuahua;1090633;40631;10678;1141942;1692545;1123101;44338;11143;1178582;2320524;1713920;3406465
09;Ciudad de México;3082273;40340;28015;3150628;4233783;3432919;99859;32110;3564888;6715516;4617297;8851080
10;Durango;514270;20410;3169;537849;803890;545380;21933;3631;570944;1108793;829044;1632934
11;Guanajuato;1629683;121307;8366;1759356;2639425;1792042;185406;11228;1988676;3748032;2846947;5486372
12;Guerrero;909801;147184;8323;1065308;1645561;941351;227143;10774;1179268;2244576;1743207;3388768
13;Hidalgo;798102;71375;4919;874396;1285222;854604;118389;7061;980054;1854450;1379796;2665018
14;Jalisco;2357586;101331;13238;2472155;3600641;2516954;122420;16068;2655442;5127597;3750041;7350682
15;México;4917968;149100;29528;5096596;7396986;5183780;316967;38057;5538804;10635400;7778876;15175862
16;Michoacán de Ocampo;1275959;132972;9311;1418242;2102109;1395927;172206;11046;1579179;2997421;2248928;4351037
17;Morelos;561646;31628;3500;596774;858588;611175;49417;4908;665500;1262274;918639;1777227
18;Nayarit;351160;23361;2008;376529;541007;358486;24764;2470;385720;762249;543972;1084979
19;Nuevo León;1587831;32264;27932;1648027;2320185;1612181;40978;29977;1683136;3331163;2333273;4653458
20;Oaxaca;1054553;145729;7110;1207392;1819008;1098772;276081;9721;1384574;2591966;1982954;3801962
21;Puebla;1677789;143707;9030;1830526;2769855;1816962;263475;13183;2093620;3924146;3009974;5779829
22;Querétaro;572792;28532;2727;604051;887188;610285;51650;3945;665880;1269931;940749;1827937
23;Quintana Roo;443442;17709;8738;469889;673220;420588;26428;7950;454966;924855;652358;1325578
24;San Luis Potosí;785941;59395;4930;850266;1260366;837962;81072;6654;925688;1775954;1325152;2585518
25;Sinaloa;912114;51663;6034;969811;1376201;946372;46283;6946;999601;1969412;1391560;2767761
26;Sonora;901955;28751;6893;937599;1339612;902124;28148;6516;936788;1874387;1322868;2662480
27;Tabasco;701974;41874;4252;748100;1100758;723716;67080;5200;795996;1544096;1137845;2238603
28;Tamaulipas;1049596;36419;20014;1106029;1616201;1091371;45256;21574;1158201;2264230;1652353;3268554
29;Tlaxcala;365173;14306;1979;381458;565775;394607;27573;2821;425001;806459;604161;1169936
30;Veracruz de Ignacio de la Llave;2311437;240428;13820;2565685;3695679;2453153;378966;17852;2849971;5415656;3947515;7643194
31;Yucatán;627655;53338;5013;686006;963333;639648;76668;5739;722055;1408061;992244;1955577
32;Zacatecas;460390;25896;2733;489019;726897;498631;30771;3058;532460;1021479;763771;1490668
