cve_ent;entidad federativa;sexo;población de 3 años y más;sin escolaridad;preescolar;1_5_primaria;primaria 6 grado;no_especificado_primaria;secundaria;estudios técnicos o comerciales con primaria terminada;educación posbásica1;no especificado
00;nacional;hombres;51022388;4019015;3003382;10718048;6864028;63887;12062306;110761;13750346;430615
01;Aguascalientes;hombres;538279;36779;33022;109316;70747;296;135917;1467;147343;3392
02;Baja California;hombres;1485928;92806;72496;265970;183935;9316;390772;3663;447637;19333
03;Baja California Sur;hombres;302298;18618;16315;55656;37551;452;73561;636;97122;2387
04;Campeche;hombres;381256;32114;23403;84642;46596;295;85479;757;105236;2734
05;Coahuila de Zaragoza;hombres;1267553;67415;74284;230302;161979;2134;333433;8356;379350;10300
06;Colima;hombres;301308;23305;17893;60011;38281;296;72269;510;87032;1711
07;Chiapas;hombres;2163063;301049;149129;607193;316727;1346;392820;1227;382544;11028
08;Chihuahua;hombres;1546172;111901;74916;316834;247307;3201;355891;8477;409023;18622
09;Ciudad de México;hombres;3952770;141421;193208;504315;406777;4361;940031;10693;1717413;34551
10;Durango;hombres;740922;51146;42401;172006;112058;712;178885;2245;175246;6223
11;Guanajuato;hombres;2460213;251079;164592;567083;396293;2347;580395;2896;480911;14617
12;Guerrero;hombres;1528854;197182;112338;383994;207262;1144;306251;832;307187;12664
13;Hidalgo;hombres;1198943;109164;72775;262033;166834;899;309133;1501;269098;7506
14;Jalisco;hombres;3350163;234554;203248;701499;488626;5830;789607;7148;892805;26846
15;México;hombres;6883537;430825;385860;1209530;887986;7283;1881367;15254;2013684;51748
16;Michoacán de Ocampo;hombres;1949779;220781;120462;494428;301909;2198;414176;2922;377239;15664
17;Morelos;hombres;799886;65926;45513;154156;101208;655;203271;1041;223269;4847
18;Nayarit;hombres;505187;43383;28641;115029;61781;438;123349;639;129348;2579
19;Nuevo León;hombres;2164938;99824;117418;354315;232148;4285;577633;12614;726313;40388
20;Oaxaca;hombres;1698408;194842;111220;465821;266634;952;345632;756;301646;10905
21;Puebla;hombres;2571441;233014;179849;613214;406392;1731;541309;3000;576593;16339
22;Querétaro;hombres;826692;65005;51122;156789;114489;424;206432;1164;226160;5107
23;Quintana Roo;hombres;623441;41068;34582;112026;69157;815;165378;1037;187446;11932
24;San Luis Potosí;hombres;1175332;97391;81518;285554;152335;926;275247;1760;273504;7097
25;Sinaloa;hombres;1295496;96346;70447;284477;157541;2165;264768;2550;406744;10458
26;Sonora;hombres;1254876;81560;60747;247869;138974;1206;323317;3492;386782;10929
27;Tabasco;hombres;1021027;67159;68138;231883;121220;617;243250;1105;280872;6783
28;Tamaulipas;hombres;1474425;96661;74573;287365;188524;2947;347773;5520;441991;29071
29;Tlaxcala;hombres;528813;36886;32531;100513;81791;312;140999;598;132127;3056
30;Veracruz de Ignacio de la Llave;hombres;3451111;357981;191626;880818;487693;3332;699245;4033;806395;19988
31;Yucatán;hombres;906108;69241;55408;221867;106977;450;208161;1507;235680;6817
32;Zacatecas;hombres;674169;52589;43707;181540;106296;522;156555;1361;126606;4993
00;nacional;mujeres;53758877;4928137;2921428;11001311;7757040;63196;11938468;358924;14348314;442059
01;Aguascalientes;mujeres;571201;37887;31966;110281;81712;337;141014;4918;159527;3559
02;Baja California;mujeres;1460925;94650;70147;261627;194830;3315;376565;9642;431890;18259
03;Baja California Sur;mujeres;289003;18616;15655;52597;35341;421;64143;2324;97436;2470
04;Campeche;mujeres;389259;37544;22643;85058;52606;349;85629;1690;101028;2712
05;Coahuila de Zaragoza;mujeres;1290960;67711;71417;231363;181629;2011;326255;21920;376924;11730
06;Colima;mujeres;306941;22832;17273;58367;40822;335;70117;2082;93307;1806
07;Chiapas;mujeres;2258859;423331;145816;620319;334549;1483;374876;3322;344477;10686
08;Chihuahua;mujeres;1570551;113772;72408;297133;257909;3349;370719;21881;415282;18098
09;Ciudad de México;mujeres;4342894;199888;189347;574286;519323;5834;921772;54085;1843610;34749
10;Durango;mujeres;767840;51406;40733;164586;117968;737;189484;8059;188614;6253
11;Guanajuato;mujeres;2672361;286587;160380;596921;463136;2541;612813;9947;524209;15827
12;Guerrero;mujeres;1633359;263682;110194;391673;223653;1139;297905;2782;328477;13854
13;Hidalgo;mujeres;1296079;146695;70971;263004;183568;1000;311597;5636;305235;8373
14;Jalisco;mujeres;3506988;245874;196518;716114;548273;6267;799677;25182;942053;27030
15;México;mujeres;7279653;577210;379202;1298574;1045416;8643;1768179;48491;2099450;54488
16;Michoacán de Ocampo;mujeres;2100457;240818;117759;513753;343478;2406;437466;9890;418802;16085
17;Morelos;mujeres;861936;79181;43954;157651;112551;688;207901;4118;250367;5525
18;Nayarit;mujeres;509423;41876;27475;108994;61397;207;119916;2272;144324;2962
19;Nuevo León;mujeres;2182572;105187;112849;365054;276190;5049;546114;33286;697747;41096
20;Oaxaca;mujeres;1865030;300109;109010;487799;294938;1011;335882;2557;322266;11458
21;Puebla;mujeres;2816975;328851;174946;648065;464269;1996;537823;10569;632406;18050
22;Querétaro;mujeres;882425;82307;49787;162588;135030;443;200600;4524;241712;5434
23;Quintana Roo;mujeres;604318;47259;33552;113408;75764;824;149057;2222;171703;10529
24;San Luis Potosí;mujeres;1242427;109397;79125;277947;173309;1036;289569;5849;298332;7863
25;Sinaloa;mujeres;1313534;87609;67058;274484;170614;2256;266112;9418;424987;10996
26;Sonora;mujeres;1240783;76544;58522;233907;142118;1145;313263;10992;394091;10201
27;Tabasco;mujeres;1061144;85699;65973;240582;139619;703;244901;2828;273980;6859
28;Tamaulipas;mujeres;1514574;101945;72411;284763;211083;3221;353452;15075;443168;29456
29;Tlaxcala;mujeres;568256;46567;31806;106982;94488;303;139881;1640;143249;3340
30;Veracruz de Ignacio de la Llave;mujeres;3708857;468657;185991;906186;548352;3158;700824;13758;861600;20331
31;Yucatán;mujeres;936425;85287;53940;227548;125002;471;198370;3839;235226;6742
32;Zacatecas;mujeres;712868;53159;42600;169697;108103;518;186592;4126;142835;5238
