cve_ent;entidad federativa;sexo;población de 3 años y más;sin escolaridad;preescolar;primaria_total;1_5_primaria;6_primaria;no_especificado_primaria;secundaria_total;secundaria;no_especificado_secundaria;estudios técnicos o comerciales con primaria terminada;1_2_et;3 o más grados et;no_especificado_et;prepa_total;1_2_prepa;3 o más grados preparatoria o bachilletario;no especificado prepa;normal básica;estudios técnicos o comerciales con preparatoria terminada;licenciatura total;1 a 3 grados superior;4 o mas superior;no especificado superior;posgrado3;no especificado
1;Aguascalientes;hombres;659674;31981;36507;170807;98999;71719;89;175140;175013;127;1072;616;2334;2;114771;34894;79801;76;395;8192;102260;31245;70764;251;14327;1270
2;Baja California;hombres;1820546;89987;78361;437621;233141;202000;2480;477923;473948;3975;4160;2321;5973;106;405933;106993;297247;1693;853;16114;260927;96033;163899;995;32265;8002
3;Baja California Sur;hombres;385824;18009;19638;94867;53988;40822;57;95352;95256;96;671;334;1458;9;85684;24516;61111;57;289;3680;58249;18236;39918;95;6384;1200
4;Campeche;hombres;431754;32136;24745;115567;70537;44983;47;105043;105012;31;626;348;1476;3;74014;22035;51942;37;379;4081;64192;17824;46306;62;8159;985
5;Coahuila de Zaragoza;hombres;1479322;68796;79472;346009;189432;155989;588;407410;406333;1077;6309;3944;10464;53;274484;99911;174054;519;1367;30695;215971;57621;157918;432;28860;5488
6;Colima;hombres;344516;19443;17584;92927;53569;39312;46;83462;83426;36;486;590;1377;2;62801;18244;44531;26;170;3282;54351;15812;38489;50;7312;729
7;Chiapas;hombres;2523883;297553;170156;939419;558635;380456;328;500038;499926;112;1339;648;2720;3;351803;94296;257414;93;1579;6891;222601;67513;154887;201;24365;4768
8;Chihuahua;hombres;1766525;98508;80747;497161;262202;234454;505;449402;448937;465;6170;2739;9364;34;315839;86714;228759;366;1011;21136;242020;80420;161065;535;36161;6233
9;Ciudad de México;hombres;4264713;125527;171608;749538;395971;352709;858;934560;932963;1597;7828;5988;27183;99;961456;271695;685909;3852;2322;53900;1028135;300213;725441;2481;184882;11687
10;Durango;hombres;854701;47723;47682;252357;145892;105942;523;234744;233759;985;1949;827;3319;33;137879;46361;91070;448;916;6970;104540;32060;72231;249;13577;2185
11;Guanajuato;hombres;2831229;208147;159683;858256;460336;396997;923;782591;781465;1126;3204;1636;5524;18;452692;136208;315796;688;1727;21223;286825;96873;189345;607;41973;7730
12;Guerrero;hombres;1593455;157987;108264;529564;321869;207472;223;347384;347284;100;1077;750;1961;1;261512;82871;178560;81;1718;7439;158735;40910;117704;121;13729;3334
13;Hidalgo;hombres;1411823;92690;73893;405781;233437;172213;131;387156;387047;109;1453;1386;4291;1;242008;74531;167405;72;1378;11865;167445;58626;108678;141;19710;2766
14;Jalisco;hombres;3878879;207488;201947;1110998;611691;498198;1109;949777;948793;984;6146;4384;14189;37;684514;187640;496173;701;1402;34858;577488;167805;408821;862;75175;10476
15;México;hombres;7880901;357131;379567;1934050;1053329;879193;1528;2119711;2117822;1889;12763;8742;39190;90;1670023;465491;1202768;1764;2608;80491;1125905;424825;698933;2147;124815;25815
16;Michoacán de Ocampo;hombres;2177422;187192;129342;768756;442798;325499;459;499720;499521;199;2345;1874;6841;12;301770;104320;197318;132;1381;15262;227168;69280;157652;236;29709;6050
17;Morelos;hombres;908404;55777;46570;237625;131672;105821;132;237818;237714;104;1098;1156;4150;19;169500;45162;124253;85;1835;8226;125120;37372;87553;195;17349;2161
18;Nayarit;hombres;581462;37423;32852;167774;104268;63431;75;145304;145263;41;631;766;1924;1;102304;32056;70210;38;566;6041;75659;24178;51422;59;8987;1230
19;Nuevo León;hombres;2751732;107894;140097;567458;321439;244857;1162;755460;753656;1804;10054;14138;27928;122;520923;240228;278922;1773;1888;52989;467998;128910;337439;1649;71442;13341
20;Oaxaca;hombres;1866436;158315;117253;688380;405232;282848;300;436692;436275;417;975;655;1987;9;258843;76492;182148;203;1567;6168;176612;42428;133987;197;15656;3324
21;Puebla;hombres;2986166;195560;178090;980577;541163;439026;388;675656;675429;227;2986;2347;9319;16;492605;138932;353436;237;2176;30661;368171;109842;257948;381;41774;6228
22;Querétaro;hombres;1099069;57948;57269;263577;141716;121713;148;274732;274581;151;1444;1539;3891;8;192112;48435;143529;148;505;14933;198080;51227;146608;245;30243;2788
23;Quintana Roo;hombres;883265;47677;43760;199332;116637;82381;314;230743;230597;146;1421;633;2274;10;204879;39987;164716;176;338;8220;127644;43375;84023;246;12952;3382
24;San Luis Potosí;hombres;1304662;77452;76201;373167;222776;150175;216;340058;339857;201;2057;2218;4692;7;217339;77189;139995;155;1535;14244;172269;46760;125269;240;19808;3615
25;Sinaloa;hombres;1422829;82836;70062;398574;240049;158304;221;294203;293963;240;1969;1222;4332;8;273034;93717;179094;223;508;11591;262026;67871;193885;270;19738;2726
26;Sonora;hombres;1407778;66830;64209;338193;203043;134662;488;375655;374568;1087;3205;2360;8211;33;280058;90356;189195;507;693;17414;219812;71918;147545;349;26853;4252
27;Tabasco;hombres;1113314;58616;69943;314098;197210;116711;177;265304;265150;154;956;425;2095;8;222607;52594;169812;201;303;8962;153544;43646;109615;283;14267;2186
28;Tamaulipas;hombres;1654807;85933;77994;434672;246560;187794;318;412460;411866;594;4356;2117;5967;7;333637;88582;244550;505;1094;17586;247997;87641;159834;522;26114;4873
29;Tlaxcala;hombres;607302;30551;32070;167524;86579;80866;79;168680;168616;64;544;684;2021;4;112882;30798;82050;34;643;5922;78287;22316;55910;61;6119;1371
30;Veracruz de Ignacio de la Llave;hombres;3697023;303617;189550;1231243;733660;496938;645;793576;793265;311;3530;2169;6255;10;633565;167078;466196;291;1651;26427;455265;138179;316666;420;44011;6154
31;Yucatán;hombres;1087073;64444;59441;303780;188810;114836;134;263507;263358;149;1657;3054;6624;27;187284;55583;131535;166;885;16190;155491;44314;111052;125;22322;2367
32;Zacatecas;hombres;745528;43809;46300;248573;147767;100700;106;204554;204463;91;1016;589;2235;3;99761;35518;64158;85;588;5341;78979;22789;56092;98;12292;1488
0;estados unidos mexicanos;hombres;58422017;3514980;3080857;16218225;9214407;6989021;14797;14423815;14405126;18689;95497;73199;231569;795;10698516;3169427;7513657;15432;36270;576994;8259766;2558062;5686899;14805;1051330;160204
1;Aguascalientes;mujeres;692561;31976;35729;176000;97876;78045;79;186051;185968;83;3633;1885;9304;9;114639;33230;81350;59;1202;12566;105280;32882;72161;237;12876;1411
2;Baja California;mujeres;1790298;90288;76730;435182;226915;207673;594;467686;466928;758;7841;6208;15578;37;367510;95777;271155;578;1994;21802;260882;94778;165460;644;30868;7692
3;Baja California Sur;mujeres;372818;18112;19172;89226;50821;38349;56;86653;86584;69;1982;1050;5200;6;79768;21415;58283;70;473;5923;58418;18359;39975;84;5591;1244
4;Campeche;mujeres;446774;36059;24292;118277;69549;48680;48;113883;113851;32;1322;1152;4660;2;69253;20678;48545;30;803;5292;62990;17922;45036;32;7843;946
5;Coahuila de Zaragoza;mujeres;1500922;67119;77376;359568;189720;169410;438;415845;415307;538;15205;10431;25815;70;247429;91407;155684;338;3024;34837;213600;58577;154642;381;24791;5812
6;Colima;mujeres;355305;19339;16805;91462;51406;40014;42;86252;86219;33;1649;3019;5203;8;59567;17212;42326;29;584;6454;57457;17642;39756;59;6785;721
7;Chiapas;mujeres;2658046;401973;168536;974177;564255;409570;352;534754;534648;106;2504;1425;7069;7;315994;85203;230716;75;2060;10155;211730;68721;142886;123;23452;4210
8;Chihuahua;mujeres;1803755;98428;79147;480866;247729;232693;444;481404;480868;536;14748;4348;23447;36;305506;82793;222415;298;2313;24691;247465;80827;166201;437;34873;6483
9;Ciudad de México;mujeres;4668454;150756;169482;914252;451637;461749;866;951358;949970;1388;33989;20934;122874;293;935821;238721;695993;1107;9154;117093;1055304;304219;749114;1971;175012;12132
10;Durango;mujeres;878981;46363;46079;240362;136923;103343;96;250573;250477;96;5865;2181;12940;19;138433;44860;93514;59;1777;11448;106960;32605;74236;119;13720;2261
11;Guanajuato;mujeres;3009728;232693;156311;886726;466949;419119;658;860023;859495;528;7458;4390;17119;30;463409;133983;329089;337;3659;27745;302454;104492;197489;473;39762;7949
12;Guerrero;mujeres;1735307;214458;107433;558558;331486;226822;250;363964;363877;87;2301;2002;6609;4;266707;81356;185248;103;3645;10807;181230;45902;135212;116;14065;3524
13;Hidalgo;mujeres;1533074;121116;72899;412244;233702;178404;138;415985;415871;114;4430;4517;16043;19;254054;72531;181444;79;2664;19534;185104;64754;120225;125;21406;3059
14;Jalisco;mujeres;4034076;213050;198935;1148797;613584;534290;923;984672;983992;680;17745;13770;42289;76;703317;181582;521054;681;4677;50155;581125;173876;406493;756;64694;10774
15;México;mujeres;8379157;470127;375874;2150634;1127795;1021039;1800;2138941;2137315;1626;33271;23693;120986;220;1616165;428368;1186336;1461;7207;137393;1149689;437848;710012;1829;128053;26904
16;Michoacán de Ocampo;mujeres;2316094;198262;128040;793327;445358;347491;478;539987;539765;222;7035;5903;23052;30;316982;102559;214268;155;3008;25213;239797;73337;166265;195;28999;6459
17;Morelos;mujeres;979359;65409;45893;247398;133760;113498;140;251468;250951;517;3481;4042;14500;38;171704;42478;129021;205;4026;15438;136452;41017;95231;204;16992;2518
18;Nayarit;mujeres;593277;36733;31870;157769;96715;60990;64;145603;145559;44;1678;2801;7908;4;101035;30342;70658;35;986;9507;85363;28231;57070;62;10698;1322
19;Nuevo León;mujeres;2756412;110572;136650;614134;329412;283882;840;746313;745359;954;24954;23862;67728;162;454867;206047;247952;868;5457;64791;435845;120602;313786;1457;56972;14105
20;Oaxaca;mujeres;2050864;243824;117004;732617;424974;307420;223;445005;444892;113;2064;1889;7257;7;276737;76529;200125;83;2714;10402;192499;47013;145375;111;15619;3226
21;Puebla;mujeres;3252416;269035;175567;1054108;569033;484627;448;704968;704737;231;8612;7257;33855;32;495926;138726;357018;182;5355;48015;399225;118918;279937;370;43668;6793
22;Querétaro;mujeres;1154345;71217;55562;276307;145340;130811;156;285166;285029;137;4142;4304;14390;20;193179;46656;146410;113;1700;21581;197185;54177;142807;201;26529;3063
23;Quintana Roo;mujeres;869305;52867;42975;208482;117757;90584;141;222601;222453;148;2255;1625;5459;7;180571;36341;144076;154;596;10445;125708;43587;81898;223;12452;3262
24;San Luis Potosí;mujeres;1383017;83807;74832;367847;211406;156228;213;381233;380974;259;5324;5671;12730;8;220038;76410;143482;146;3263;21658;182771;49150;133399;222;19868;3967
25;Sinaloa;mujeres;1462486;75335;66787;391897;228599;163117;181;307751;307662;89;6873;6000;17960;19;264376;86119;178165;92;1699;20849;281943;69537;212165;241;18139;2858
26;Sonora;mujeres;1410043;62937;62536;325139;191627;133318;194;376169;375955;214;7785;6942;23310;36;270152;81643;188325;184;1535;24242;219578;70731;148613;234;25223;4459
27;Tabasco;mujeres;1170069;70835;68875;339297;204289;134821;187;286617;286478;139;2085;935;7193;11;210352;49124;161065;163;670;12443;154519;44823;109523;173;14099;2138
28;Tamaulipas;mujeres;1712316;88974;75825;444486;241988;202229;269;440563;440249;314;11002;5728;17352;20;314334;83637;230432;265;2939;21138;259418;91187;167823;408;25236;5301
29;Tlaxcala;mujeres;650791;37302;31679;179903;91301;88540;62;176363;176304;59;1204;1955;6500;5;112567;29184;83350;33;1249;7955;86212;23177;62987;48;6421;1476
30;Veracruz de Ignacio de la Llave;mujeres;4019340;388996;186707;1315696;758283;556737;676;844231;843923;308;10033;7705;21021;19;650364;166389;483701;274;3208;39296;500110;145590;354187;333;45579;6375
31;Yucatán;mujeres;1128858;75620;58419;321295;190669;130448;178;269850;269714;136;3903;8575;17696;28;171364;49718;121481;165;2704;20406;155432;45920;109398;114;21065;2501
32;Zacatecas;mujeres;786319;42945;45557;228950;135850;93009;91;240312;240227;85;2854;1556;6487;4;108532;35913;72564;55;993;7589;85977;25239;60671;67;12925;1638
0;estados unidos mexicanos;mujeres;61554567;4186527;3029578;17034983;9376708;7646950;11325;15002244;14991601;10643;259227;197755;739534;1286;10450652;2966931;7475245;8476;87338;876863;8517722;2645640;5860033;12049;1004275;166583
