PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,cveent,noment,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,1,01,Aguascalientes,Egresos,Tema,Total de egresos,11848058487,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,2,02,Baja California,Egresos,Tema,Total de egresos,24804389362,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,3,03,Baja California Sur,Egresos,Tema,Total de egresos,8409327872,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,4,04,Campeche,Egresos,Tema,Total de egresos,12468049173,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,5,05,Coahuila de Zaragoza,Egresos,Tema,Total de egresos,25772643000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,6,06,Colima,Egresos,Tema,Total de egresos,7106876791,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,7,07,Chiapas,Egresos,Tema,Total de egresos,44508542729,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,8,08,Chihuahua,Egresos,Tema,Total de egresos,30174960811,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Ciudad de México,2007,9,09,Ciudad de M�xico,Egresos,Tema,Total de egresos,101176819500,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,10,10,Durango,Egresos,Tema,Total de egresos,15045134979,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,11,11,Guanajuato,Egresos,Tema,Total de egresos,32565800749,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,12,12,Guerrero,Egresos,Tema,Total de egresos,28601319248,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,13,13,Hidalgo,Egresos,Tema,Total de egresos,23673977007,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,14,14,Jalisco,Egresos,Tema,Total de egresos,54412623184,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,15,15,M�xico,Egresos,Tema,Total de egresos,117000000000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,16,16,Michoac�n de Ocampo,Egresos,Tema,Total de egresos,36700349833,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,17,17,Morelos,Egresos,Tema,Total de egresos,14272105000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,18,18,Nayarit,Egresos,Tema,Total de egresos,11280655464,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,19,19,Nuevo Le�n,Egresos,Tema,Total de egresos,41356663000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,20,20,Oaxaca,Egresos,Tema,Total de egresos,38950107000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,21,21,Puebla,Egresos,Tema,Total de egresos,44686715431,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,22,22,Quer�taro,Egresos,Tema,Total de egresos,15082539014,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,23,23,Quintana Roo,Egresos,Tema,Total de egresos,14736039000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,24,24,San Luis Potos�,Egresos,Tema,Total de egresos,21970669038,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,25,25,Sinaloa,Egresos,Tema,Total de egresos,23594998601,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,26,26,Sonora,Egresos,Tema,Total de egresos,26037409267,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,27,27,Tabasco,Egresos,Tema,Total de egresos,31400856870,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,28,28,Tamaulipas,Egresos,Tema,Total de egresos,35043128275,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,29,29,Tlaxcala,Egresos,Tema,Total de egresos,10930758087,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,30,30,Veracruz de Ignacio de la Llave,Egresos,Tema,Total de egresos,62068108133,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,31,31,Yucat�n,Egresos,Tema,Total de egresos,15001557202,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2007,32,32,Zacatecas,Egresos,Tema,Total de egresos,15087848975,Cifras Definitivas
