producto;exp_2018;exp_2019;exp_2020;exp_2021;exp_2022;exp_2023;exp_2024;general_AMLO;exp_2006;exp_2007;exp_2008;exp_2009;exp_2010;exp_2011;exp_2012;general_FCH
 Aguacates;2493536;2932078;2699633;3270314;3321157;3153401;3786812;21656931;329272.3;601177.1;577193.2;645412;603650;837331;877907;4471942.6
 Algodon;105144;211989;207064;145330;197678;187726;102984;1157915;53778.9;65122.4;78581.9;46721;52800;119353;126397;542754.2
 Bananas o plátanos;271193;292105;273450;274554;277546;254525;244677;1888050;30650.9;19959.2;43309.7;77179;73683;76383;126142;447306.8
 Cafe crudo en grano;316899;251114;334992;348829;617928;393899;404801;2668462;264627.2;305941;288214.1;310397;299698;552214;629737;2650828.3
 Camaron congelado;375074;428558;339150;286560;321464;203591;156442;2110839;331034.8;366194.9;342954.5;360871;233631;305413;266467;2206566.2
 Cebollas y Ajos;392673;386597;452304;479799;507169;523560;529463;3271565;239399.4;256413.6;319414.8;291621;278996;327089;330351;2043284.8
 Citricos;596339;603998;555764;721790;818557;884123;867860;5048431;208177.3;244918.7;262888.3;208012;261671;272799;285744;1744210.3
 Flores;38979;39004;35969;63545;69258;62796;47801;357352;47109.2;26638.1;26818.7;25255;24579;24134;27255;201789
 Fresas frescas;412554;567891;588941;734639;786293;748970;800496;4639784;129231.9;116754.4;128647;93164;141878;143897;224399;977971.3
 Frijol;49204;28919;58030;57609;63244;32220;48164;337390;14068;20816.8;30305.6;28721;27552;35354;27969;184786.4
 Frutas y frutos comestibles;1385809;1564795;1454830;1676788;1701359;1886687;1791528;11461796;273795.2;355078.5;257641.1;341819;390184;466611;542545;2627673.8
 Ganado vacuno;755620;824288;883321;717688;685582;1109359;1299630;6275488;654956.3;475199.1;311917.2;395911;539112;631629;749500;3758224.6
 Garbanzo;152950;161574;151159;180172;195367;104164;219125;1164511;115704.2;82986.1;115506.3;126584;104098;69760;250776;865414.6
 Jitomate;2048483;1975404;2370238;2349229;2440374;2670040;3030019;16883787;1119341.2;1068624.7;1205391.6;1210757;1618073;2065092;1681275;9968554.5
 Maiz;284471;254123;270917;156875;183257;121011;99166;1369820;37238.9;71325.8;23774.2;87913;155738;41953;233143;651085.9
 Mangos;422718;441273;449718;493221;520193;537206;602392;3466721;99347.3;118869.2;111213.9;136943;163448;190297;254007;1074125.4
 Melon, sandia y papaya;461371;525973;485124;526213;572440;638259;625320;3834700;339511.2;340039.3;384918.6;474301;451067;391454;425558;2806849.1
 Miel;120408;67830;67963;124647;136378;67757;59357;644340;48381.4;56454.4;83789.1;81239;84745;90358;101499;546465.9
 Otras legumbres y hortalizas frescas;2060227;2357997;2541742;2687522;2989556;3139395;3294547;19070986;808026.3;858547.5;840327.9;912116;1164684;1198795;1191102;6973598.7
 Otros pescados crustáceos y moluscos.;754461;679469;566743;772479;729458;638019;621674;4762303;256727.6;324541.5;304659.2;312383;427528;629163;571026;2826028.3
 Otros productos agropecuarios;872671;830286;940508;1024385;1149671;1267846;1357235;7442602;254814.4;288861.7;340754.9;308341;359894;451942;459164;2463772
 Pepino;517325;557066;609380;644975;710757;804923;910650;4755076;380719.3;409730.1;420929.9;261482;263695;258801;359870;2355227.3
 Pimiento;1164943;1327323;1475047;1562818;1484827;1592594;1845465;10453017;583503.6;608971.2;623536.9;562592;616262;659082;773480;4427427.7
 Tabaco;32028;27089;27572;38085;42968;53853;64073;285668;22178.1;27817.6;32218.6;28958;24941;29607;33923;199643.3
 Trigo;222222;201315;163222;251843;363636;318545;139376;1660159;82700.2;149299.1;589569.4;276339;88082;298501;203536;1688026.7
 Uvas y pasas;200278;294272;281807;332355;305509;414603;406320;2235144;111616.1;154668.9;150163.3;120910;160754;142439;161468;1002019.3
