producto;imp_2018;imp_2019;imp_2020;imp_2021;imp_2022;imp_2023;imp_2024;general_AMLO;imp_2006;imp_2007;imp_2008;imp_2009;imp_2010;imp_2011;imp_2012;general_FCH
Algodon;489639.1;461926.6;538958.8;411904;630635;834621;450358;3818042.5;387275;310353;207805;439721;556793;312491;269658;2484096
Arroz;203418.2;247755.2;370821.1;345413;320196;376800;369920;2234323.5;386749;348003;448025;432645;576248;501570;645664;3338904
de Productos Agropecuarios;7223140;8993765;11837521;8610049;9845077;13141004;13231716;72882272;13222166;13215376;12795196;18342349;21548248;21118950;20433026;120675311
Estomago de animales,excepto pescado;117911.9;131752.5;163428.2;138992;147266;148057;169538;1016945.6;230150;273547;201583;243271;270120;333918;315963;1868552
Frijol;80058.2;67288.9;91642.6;170939;111860;100760;281455;904003.7;137793;103236;133564;180443;111174;368566;520432;1555208
Ganado vacuno;65685.5;89498.4;134816.5;30684;38936;27091;17736;404447.4;38512;42841;46339;128968;139308;72572;48745;517285
Huevo;31149.3;25753.5;22069.7;23391;26562;43790;64031;236746.5;173404;187541;194606;240980;326089;320568;220067;1663255
Leche y sus derivados;596428;950631.9;773703.1;598020;716163;767362;741645;5143953;871763;1012922;861591;934439;1284410;1467889;1652260;8085274
Maiz;1138367.6;1554319.7;2391399.1;1436752;1583295;2989321;2996573;14090027.4;3289457;3190099;3089788;5146792;5794800;5872512;5393440;31776888
Manzanas, peras y membrillos;286755.4;336343.3;332501.3;259206;285884;290469;392665;2183824;382807;388082;332448;450493;451188;473267;549360;3027645
Otras frutas frescas o secas;267026.3;265936.9;349879.9;272908;301621;362438;403701;2223511.1;597301;574747;572871;671274;723258;758583;971214;4869248
Otras semillas y frutos oleaginosos;329856.4;412953;546301.2;436539;467314;475387;450650;3119000.6;340866;314457;296733;330146;432871;442418;513339;2670830
Otros cereales;52975.6;75462.7;154387;76961;56474;100589;103451;620300.3;55411;92332;162815;218905;242880;343525;259041;1374909
Otros productos agropecuarios;507475.4;548058.7;597429;503605;626732;702843;687312;4173455.1;870134;873636;895380;1066809;1207797;1355854;1594933;7864543
Pescados, crustaceos y moluscos;302261.4;372844.2;411604.8;275742;389481;481630;518080;2751643.4;697009;644599;519684;804167;926587;820933;905378;5318357
Pimienta, chiles o pimientos secos;37617.3;65099;108460.5;70228;62530;70549;81278;495761.8;121577;119573;95701;137484;175049;219229;196744;1065357
Semilla de soya;926092.6;1176991.8;1800950.2;1419117;1591500;1762083;1991825;10668559.6;2001518;2187883;2225852;3362901;4133595;3657436;3108644;20677829
Semillas de nabo o colza;345141.2;479878.2;888565.6;493493;667119;973450;934185;4781832;649281;496400;592439;976832;1038485;932907;580762;5267106
Semillas para siembra;233137;245515.4;267233.8;262094;294215;330742;335836;1968773.2;470270;465863;458917;517847;565881;603901;604903;3687582
Sorgo;338704;347074.6;364131.2;442175;427578;687793;489878;3097333.8;62283;153744;78342;73899;156561;67810;40492;633131
Tabaco;60137.9;144102.8;153997.4;144466;159515;152560;115428;930207.1;107723;102366;67998;74046;29674;41685;32790;456282
Trigo;691113.6;856009.4;1246899.9;727949;847172;1321836;1482071;7173050.9;1169145;1137350;1099997;1695441;2115637;1801403;1639352;10658325
Uvas frescas o secas;122189.3;138570.5;128340.8;69471;93029;140833;154100;846533.6;181734;195805;212726;214845;289844;349908;369845;1814707
